nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
Ernesto Sanz,5,2009,UCR,29,1,Reelecto senador (apoyo de Cobos); presidente del Comité Nacional de la UCR; consejero del Consejo de la Magistratura,,,http://www.lanacion.com.ar/1208381-sanz-logro-asumir-en-la-ucr-y-se-propone-consolidar-la-unidad,
Ernesto Sanz,5,2011,UCR,29,1,Senador; se baja de la candidatura presidencial antes de la interna radical y apoya la postulación de Alfonsín en alianza con De Narváez,,9tKTNrxqbf8,,
Ernesto Sanz,5,2013,UCR,29,1,Senador; presidente del Comité Nacional de la UCR,,,http://www.lanacion.com.ar/1632926-scioli-macri-de-la-sota-y-sanz-juegan-pero-no-compiten,
Ernesto Sanz,5,2015,UCR,29,1,"Precandidato presidencial; tras una fuerte discusión en su partido, logra imponer su postura y va a internas con Macri y Carrió ",,,http://www.lanacion.com.ar/1776377-el-radicalismo-definio-su-alianza-y-ratifico-a-ernesto-sanz-como-precandidato-presidencial,
Elisa Carrió,4,2001,ARI,16,1,Diputada; Fundadora de ARI (Afirmación para una República Igualitaria) tras alejarse de la UCR,carriocris.jpg,,,
Elisa Carrió,4,2003,ARI,16,1,Candidata a presidenta,,F338geGOtSE,,
Elisa Carrió,4,2005,ARI,16,1,Encabeza la lista a diputados nacionales por la Ciudad,,,,
Elisa Carrió,4,2007,Coalición Cívica,17,1,Candidata a presidenta tras renunciar a la conducción del ARI; sale segunda (hubo intentos de alianza con López Murphy),,,,
Elisa Carrió,4,2009,Acuerdo Cívico y Social,18,1,"Candidata a diputada nacional, tercera en la lista encabezada por Prat Gay; apoyo de Cobos",,,,
Elisa Carrió,4,2011,Coalición Cívica ARI,16,1,"Candidata a presidenta; obtiene el 1,8% de los votos",,57tykIhJ8yM,,
Elisa Carrió,4,2013,UNEN,20,1,"Encabeza la lista a diputados nacionales por la Ciudad; sale segunda, obtiene su banca",,,,
Elisa Carrió,4,2015,Coalición Cívica,17,1,"Precandidata presidencial, tras su ruidosa salida de la mesa nacional de UNEN, va a internas con Macri y Sanz",,,http://www.lanacion.com.ar/1764837-macri-y-carrio-sellaron-un-acuerdo-para-competir-juntos-en-las-paso,
Sergio Massa,2,2001,PJ,32,1,(2001/2002) Titular de la Anses durante el gobierno de Duhalde,massaduhalderetocada.jpg,,,
Sergio Massa,2,2003,FPV,1,1,Confirmado al frente de la Anses por Néstor Kirchner,,,,
Sergio Massa,2,2005,FPV,1,1,Titular de Anses del gobierno de Kirchner,,,,
Sergio Massa,2,2007,FPV,1,1,Electo intendente de Tigre,,vZs3AvXaJ1A,,
Sergio Massa,2,2009,FPV,1,1,"Jefe de Gabinete de Cristina Kirchner; candidato testimonial a diputado junto a Kirchner y Scioli, pierden frente a De Narváez",,ynFf9EQ_tdc,,
Sergio Massa,2,2011,FPV,1,1,Reelecto intendente de Tigre,,,,
Sergio Massa,2,2013,Frente Renovador,9,1,Primer candidato a diputado nacional por la provincia de Buenos Aires; gana por amplio margen al kirchnerismo,,82AFarAi-64,,
Sergio Massa,2,2015,Frente Renovador,9,1,"Precandidato presidencial; bien posicionado en las encuestas, busca convertirse en la alternativa al kirchnerismo",,,,
Jorge Altamira,7,2001,Partido Obrero,30,1,(2001/2002) Legislador porteño; presidente del PO,,,,
Jorge Altamira,7,2003,Partido Obrero,30,1,Candidato a presidente,altamira2004.jpg,,,
Jorge Altamira,7,2005,Partido Obrero,30,1,Encabeza la lista a diputados nacionales por la Ciudad; no obtiene la banca,,,,
Jorge Altamira,7,2007,Partido Obrero,30,1,Presidente del partido,,,,
Jorge Altamira,7,2009,Partido Obrero,30,1,Encabeza la lista a diputados nacionales por la Ciudad: no obtiene la banca,,,,
Jorge Altamira,7,2011,Frente de Izquierda y de los Trabajadores,23,1,Candidato a presidente,Twitter-Altamira.jpg,,,
Jorge Altamira,7,2013,Frente de Izquierda y de los Trabajadores,23,1,Encabeza la lista a diputados nacionales por la Ciudad; no obtiene su banca,,,http://www.lanacion.com.ar/1633165-historica-eleccion-de-la-izquierda-con-mas-de-un-millon-de-votos,
Jorge Altamira,7,2015,Frente de Izquierda y de los Trabajadores,23,1,Precandidato presidencial; busca consolidar el creciemiento del voto de la izquierda,,,,
Maurico Macri,3,2001,PJ,32,0,Empresario y presidente de Boca Juniors; vira hacia la política y lanza una fugaz candidatura a presidente de la Nación,,,http://www.lanacion.com.ar/413920-macri-se-bajo-de-la-candidatura-a-presidente-y-peleara-por-la-ciudad,
Maurico Macri,3,2003,Compromiso para el Cambio,4,1,Crea el partido Compromiso para el Cambio y se postula como jefe de gobierno; gana en primera vuelta y pierde ballottage contra Ibarra,,,,
Maurico Macri,3,2005,Pro,5,1,Crea la fuerza Propuesta Republicana en alianza con López Murphy; encabeza la lista a diputados por Capital y se impone sobre Carrió y Bielsa,tapa-cris-macri.jpg,,,
Maurico Macri,3,2007,Pro,5,1,Electo jefe de gobierno en fórmula con Michetti; se impone sobre Filmus en segunda vuelta con más del 60% de los votos,,63glr-wXRzk,,
Maurico Macri,3,2009,Pro,5,1,"Jefe de gobierno; alianza con De Narváez y Felipe Solá en la provincia de Buenos Aires, que logra derrotar al kirchnerismo",,WV3iQVVH5QY,,
Maurico Macri,3,2011,Pro,5,1,"Reelecto jefe de gobierno, en fórmula con Vidal; gana a Filmus en segunda vuelta con el 64,25% de los votos",,,,
Maurico Macri,3,2013,Pro,5,1,Jefe de gobierno; sus candidatos en Capital se imponen en las elecciones legislativas,,,,
Maurico Macri,3,2015,Pro,5,1,"Precandidato presidencial; bien posicionado en las encuestas, aspira a consagrar su poder como opositor. Va a internas con Carrió y Sanz",,,http://www.lanacion.com.ar/1776527-mas-alla-del-optimismo-en-pro-preven-negociaciones-trabajosas,
Hermes Binner,9,2001,Partido Socialista,31,1,Intendente de Rosario,,,,
Hermes Binner,9,2003,Partido Socialista,31,1,Candidato a gobernador de Santa Fe (pierde ante el PJ con Obeid),,,,
Hermes Binner,9,2005,"Frente Progresista, Cívico y Social",19,1,Electo diputado nacional por Santa Fe tras un histórico triunfo sobre el PJ,,,,
Hermes Binner,9,2007,"Frente Progresista, Cívico y Social",19,1,Electo gobernador de Santa Fe (se convierte en el primer gobernador socialista de la Argentina),tapa-binner.jpg,,,
Hermes Binner,9,2009,"Frente Progresista, Cívico y Social",19,1,Gobernador de Santa Fe,,,,
Hermes Binner,9,2011,Frente Amplio Progresista (FAP),22,1,Candidato a presidente (obtiene el segundo lugar detrás de Crisitna Kirchner),,ixSZMlO_Jis,,
Hermes Binner,9,2013,Frente Progresista Cívico y Social,19,1,Electo diputado nacional por Santa Fe,,,,
Hermes Binner,9,2015,Frente Amplio-UNEN,36,1,Baja su precandidatura y propone a Margarita Stolbizer en su lugar,,,http://www.lanacion.com.ar/1745399-unen-entre-el-alivio-y-la-tension-por-la-redistribucion-del-poder-interno,
