nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
Florencio Randazzo,6,2001,PJ,32,1,Deja su banca de diputado provincial y asume como Secretario para la Modernización del Estado de la provincia de Buenos Aires (gestión Solá),,,,
Florencio Randazzo,6,2003,PJ,32,1,Jefe de Gabinete de Felipe Solá en la provincia de Buenos Aires,Randazzo-Solá-Jura.jpg,,,
Florencio Randazzo,6,2005,PJ,32,1,Ministro de Gobierno de Felipe Solá,,,,
Florencio Randazzo,6,2007,FPV,1,1,Designado ministro del Interior de la Nación por Cristina Kirchner,,,,
Florencio Randazzo,6,2009,FPV,1,1,Ministro del Interior de Cristina Kirchner,,,,
Florencio Randazzo,6,2011,FPV,1,1,Ministro del Interior de Cristina Kirchner,,,,
Florencio Randazzo,6,2013,FPV,1,1,Ministro del Interior y suma el área de Transporte desde 2011; suena como el candidato en la provincia para las legislativas pero luego es designado Insaurralde,,,http://www.lanacion.com.ar/1592520-la-presidenta-preocupada-por-las-bajas-entre-sus-candidatos,
Florencio Randazzo,6,2015,FPV,1,1,Precandidato presidencial; compite por el apoyo de Cristina con sus rivales internos del FPV y sobre todo con Scioli,,aoz-pwEYb7g,,
Daniel Scioli,1,2001,PJ,32,1,Diputado nacional por Capital (menemismo); secretario de Deportes y Turismo en la presidencia de Rodríguez Saá y ratificado por Duhlade,,,http://www.lanacion.com.ar/313103-en-el-circulo-intimo-menemista-cada-uno-tiene-una-mision,
Daniel Scioli,1,2003,FPV,1,1,"Compañero de fórmula de Néstor Kirchner, asume como vicepresidente de la Nación",tapa-kirchner.jpg,,,
Daniel Scioli,1,2005,FPV,1,1,Vicepresidente de la Nación,,,,
Daniel Scioli,1,2007,FPV,1,1,"Candidato a gobernador de la provincia de Buenos Aires; gana por el 48,24%",,,,
Daniel Scioli,1,2009,FPV,1,1,Candidato testimonial junto con Massa en la lista a diputados encabezada por Kirchner; asume presidencia del PJ en reemplazo de Kirchner,,KKgESJQRaus,,
Daniel Scioli,1,2011,FPV,1,1,"Reelecto gobernador de la provincia de Buenos Aires con el 55,07 % de los votos",,,,
Daniel Scioli,1,2013,FPV,1,1,"Gobernador bonaerense; amaga con un frente electoral con Massa y con De Narváez, pero luego se alinea con el FPV",,8R7FPMZ1pSc,,
Daniel Scioli,1,2015,FPV,1,1,"Precandidato presidencial; bien posicionado en las encuestas, suma apoyos desde el oficilismo pese a no ser kirchnerista puro",,,,
Julio Cobos,5,2001,UCR,29,1,Decano de la Universidad Tecnológica Nacional de Mendoza,,,,
Julio Cobos,8,2003,UCR,29,1,Electo gobernador de Mendoza,,,,
Julio Cobos,8,2005,UCR,29,1,Gobernador de Mendoza; primeros acercamientos con el kirchnerismo y cortocircuitos con el radicalismo,,,http://www.lanacion.com.ar/754710-gobernadores-radicales-mas-cerca-del-presidente,
Julio Cobos,8,2007,FPV,1,1,Electo vicepresidente de la Nación como compañero de fórmula de Crisitna Kirchner (Concertación Plural),,1-SB3V6Nv08,,
Julio Cobos,8,2009,UCR,29,1,"Vicepresidente; enfrentado a la Presidenta por su voto a favor del campo; vuelve a la UCR, que logra una excelente elección a nivel país",,,http://www.lanacion.com.ar/1174059-cobos-dice-que-sufre-atropellos-e-intimidaciones,
Julio Cobos,8,2011,UCR,29,1,Vicepresidente; se baja de la candidatura presidencial antes de la interna radical y va Alfonsín como candidato en alianza con De Narváez,,,http://www.lanacion.com.ar/1399453-cobos-la-ucr-hizo-todo-al-reves,
Julio Cobos,8,2013,UCR,29,1,Encabeza lista de diputados nacionales por Mendoza; amplio triunfo sobre el kirchnerismo,,,,
Julio Cobos,8,2015,Frente Amplio-UNEN,36,1,"Baja su precandidatura tras la convención radical, donde no logra imponer su idea de un marco amplio de alianzas que conserve la identidad partidaria",,,,
Ernesto Sanz,5,2001,UCR,29,1,Intendente de San Rafael,,,,
Ernesto Sanz,5,2003,UCR,29,1,Electo senador por Mendoza (apoyó a López Murphy como candidato a presidente y no a Moreau),,,,
Ernesto Sanz,5,2005,UCR,29,1,Senador; presidente del bloque de la UCR de la Cámara alta,,,,
Ernesto Sanz,5,2007,UCR,29,1,Senador; se postula a vicegobernador de Mendoza en fórmula con Iglesias (opuestos a Cobos); consejero del Consejo de la Magistratura,,,,
