id,nombre,foto
1,Daniel Scioli,scioli.png
2,Sergio Massa,massa.png
3,Mauricio Macri,macri.png
4,Elisa Carrio,carrio.png
5,Ernesto Sanz,sanz.png
6,Florencio Randazzo,randazzo.png
7,Jorge Altamira,altamira.png
8,Julio Cobos,cobos2.png
9,Hermes Binner,binner2.png
